  canonical student : qwen38_19b_h5120_l48_moe
                      loaded from /workspace/runs/pilot001/transferred

  loading teacher Qwen/Qwen3.8-27B @ dbdc473dea0d6a9763042881cc33d6058d1742d2
    quantization: 4bit

    teacher ready: {'source': 'online', 'top_k': 64, 'temperature': 2.0, 'teacher_model': 'Qwen/Qwen3.8-27B', 'teacher_revision': 'dbdc473dea0d6a9763042881cc33d6058d1742d2'}

  DISTILLING 128 steps (batch 1 x 1 accum @ 1536 tokens) ...

  device: cuda
  objective: logit_kd  alpha 1.0  T 2.0  tail bucket
  teacher  : {'source': 'online', 'top_k': 64, 'temperature': 2.0, 'teacher_model': 'Qwen/Qwen3.8-27B', 'teacher_revision': 'dbdc473dea0d6a9763042881cc33d6058d1742d2'}
  tokenizer vocabulary 248,077 against a student embedding of 248,320: 243 alignment padding row(s) that no token id reaches. Carried, not trimmed — trimming would change the student's geometry.
  corpus: /workspace/corpora/gutenberg/train.txt tokenised by Qwen2Tokenizer at /workspace/models/qwen3.8-27b-dbdc473
          5,519,074 bytes, 455 sequences of 1536 (433 train / 22 validation)
          sha256 e11ca38bb099fc89
          tokenizer Qwen2Tokenizer vocab 248,077 eos 248046
          700,000 tokens from 17,017 document(s), 1120 dropped in the tail

  gradient checkpointing: ON
  strategy: qlora (r=16, alpha=32)
  optimizer: adamw
  parameters: 13,031,508,864 total, 23,003,136 trainable (0.1765%)
  precision: bf16 (autocast)

  CHECKPOINTING
    full checkpoint : every 64 steps -> /workspace/runs/run002_logit_kd/checkpoints
    progress record : every 1 steps -> metrics.jsonl + progress/latest.json
    resume          : no (starting from step 0)
    persistent copy : off (local only)
                      NOTHING SURVIVES THIS RUNTIME. Set training.persistent_backup
                      to a mounted Drive path to keep checkpoints.
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
  step      1  loss   7.1902  kd 7.190  ce 10.960  agree 0.01  tail 0.705       137 tok/s  (run 137)    11.2s
  step     67  loss   1.4656  kd 1.466  ce 5.242  agree 0.32  tail 0.726       165 tok/s  (run 154)   669.3s
  step     68  loss   1.5512  kd 1.551  ce 5.219  agree 0.31  tail 0.716       168 tok/s  (run 154)   678.4s
  step     69  loss   1.6064  kd 1.606  ce 5.268  agree 0.30  tail 0.716       161 tok/s  (run 154)   687.9s
  step     70  loss   3.5632  kd 3.563  ce 5.225  agree 0.27  tail 0.610       159 tok/s  (run 154)   697.6s
  step     71  loss   1.9293  kd 1.929  ce 5.130  agree 0.31  tail 0.685       162 tok/s  (run 154)   707.1s
  step     72  loss   1.2843  kd 1.284  ce 4.922  agree 0.30  tail 0.718       168 tok/s  (run 154)   716.2s
  step     73  loss   3.4553  kd 3.455  ce 5.028  agree 0.24  tail 0.606       162 tok/s  (run 154)   725.7s
  step     74  loss   1.7248  kd 1.725  ce 5.957  agree 0.29  tail 0.760       164 tok/s  (run 155)   735.1s
  step     75  loss   1.6164  kd 1.616  ce 4.820  agree 0.32  tail 0.682       161 tok/s  (run 155)   744.6s
  step     76  loss   3.7853  kd 3.785  ce 5.522  agree 0.25  tail 0.617       164 tok/s  (run 155)   754.0s
  step     77  loss   1.9012  kd 1.901  ce 5.160  agree 0.29  tail 0.689       168 tok/s  (run 155)   763.1s
  step     78  loss   1.4976  kd 1.498  ce 4.818  agree 0.35  tail 0.688       164 tok/s  (run 155)   772.5s
  step     79  loss   2.5928  kd 2.593  ce 5.138  agree 0.26  tail 0.675       163 tok/s  (run 155)   781.9s
  step     80  loss   3.5007  kd 3.501  ce 5.139  agree 0.24  tail 0.626       166 tok/s  (run 155)   791.2s
  step     81  loss   3.2987  kd 3.299  ce 5.223  agree 0.24  tail 0.622       167 tok/s  (run 155)   800.4s
  step     82  loss   1.6719  kd 1.672  ce 5.299  agree 0.27  tail 0.710       164 tok/s  (run 156)   809.7s
  step     83  loss   3.1491  kd 3.149  ce 5.247  agree 0.24  tail 0.634       166 tok/s  (run 156)   819.0s
  step     84  loss   4.0120  kd 4.012  ce 5.336  agree 0.24  tail 0.599       163 tok/s  (run 156)   828.4s
  step     85  loss   3.2225  kd 3.223  ce 4.877  agree 0.28  tail 0.624       166 tok/s  (run 156)   837.7s
  step     86  loss   3.0140  kd 3.014  ce 5.596  agree 0.27  tail 0.665       167 tok/s  (run 156)   846.9s
  step     87  loss   3.2582  kd 3.258  ce 5.083  agree 0.26  tail 0.609       162 tok/s  (run 156)   856.4s
  step     88  loss   3.8507  kd 3.851  ce 5.443  agree 0.25  tail 0.594       163 tok/s  (run 156)   865.8s
  step     89  loss   3.1649  kd 3.165  ce 5.315  agree 0.28  tail 0.651       165 tok/s  (run 156)   875.1s
  step     90  loss   4.0628  kd 4.063  ce 4.971  agree 0.27  tail 0.544       169 tok/s  (run 156)   884.2s
  step     91  loss   1.8789  kd 1.879  ce 5.108  agree 0.32  tail 0.687       166 tok/s  (run 156)   893.4s
  step     92  loss   1.4599  kd 1.460  ce 5.134  agree 0.33  tail 0.706       165 tok/s  (run 156)   902.8s
  step     93  loss   1.7052  kd 1.705  ce 4.889  agree 0.33  tail 0.680       165 tok/s  (run 157)   912.0s
  step     94  loss   1.6173  kd 1.617  ce 5.276  agree 0.32  tail 0.712       169 tok/s  (run 157)   921.1s
  step     95  loss   3.1702  kd 3.170  ce 5.583  agree 0.26  tail 0.639       164 tok/s  (run 157)   930.5s
  step     96  loss   2.6643  kd 2.664  ce 4.830  agree 0.29  tail 0.645       166 tok/s  (run 157)   939.7s
  step     96  validation   5.1348
  step     97  loss   1.5868  kd 1.587  ce 5.087  agree 0.30  tail 0.695        50 tok/s  (run 154)   970.6s
  step     98  loss   5.9910  kd 5.991  ce 4.577  agree 0.28  tail 0.498       166 tok/s  (run 154)   979.9s
  step     99  loss   2.5787  kd 2.579  ce 4.826  agree 0.26  tail 0.637       170 tok/s  (run 154)   988.9s
  step    100  loss   2.1371  kd 2.137  ce 4.661  agree 0.30  tail 0.660       165 tok/s  (run 154)   998.2s
  step    101  loss   1.6535  kd 1.653  ce 5.135  agree 0.30  tail 0.698       165 tok/s  (run 154)  1007.5s
  step    102  loss   3.8942  kd 3.894  ce 5.149  agree 0.28  tail 0.587       165 tok/s  (run 154)  1016.8s
  step    103  loss   4.4242  kd 4.424  ce 5.231  agree 0.27  tail 0.562       169 tok/s  (run 154)  1025.9s
  step    104  loss   2.7074  kd 2.707  ce 5.117  agree 0.25  tail 0.650       166 tok/s  (run 154)  1035.2s
  step    105  loss   1.9328  kd 1.933  ce 5.147  agree 0.30  tail 0.679       166 tok/s  (run 154)  1044.4s
  step    106  loss   1.7056  kd 1.706  ce 5.160  agree 0.31  tail 0.695       165 tok/s  (run 154)  1053.7s
  step    107  loss   1.4346  kd 1.435  ce 4.993  agree 0.31  tail 0.717       166 tok/s  (run 155)  1063.0s
  step    108  loss   1.6605  kd 1.661  ce 4.820  agree 0.35  tail 0.692       169 tok/s  (run 155)  1072.1s
  step    109  loss   3.0300  kd 3.030  ce 4.862  agree 0.28  tail 0.617       166 tok/s  (run 155)  1081.3s
  step    110  loss   4.2726  kd 4.273  ce 4.959  agree 0.28  tail 0.570       166 tok/s  (run 155)  1090.5s
  step    111  loss   1.5998  kd 1.600  ce 4.723  agree 0.35  tail 0.684       166 tok/s  (run 155)  1099.8s
  step    112  loss   1.3946  kd 1.395  ce 4.891  agree 0.35  tail 0.716       166 tok/s  (run 155)  1109.1s
  step    113  loss   2.1878  kd 2.188  ce 4.757  agree 0.28  tail 0.681       167 tok/s  (run 155)  1118.3s
  step    114  loss   1.2969  kd 1.297  ce 5.041  agree 0.35  tail 0.720       165 tok/s  (run 155)  1127.6s
  step    115  loss   1.5450  kd 1.545  ce 4.896  agree 0.33  tail 0.694       166 tok/s  (run 155)  1136.8s
  step    116  loss   1.9802  kd 1.980  ce 5.194  agree 0.33  tail 0.684       163 tok/s  (run 155)  1146.2s
  step    117  loss   1.5354  kd 1.535  ce 5.642  agree 0.28  tail 0.755       169 tok/s  (run 156)  1155.3s
  step    118  loss   5.2877  kd 5.288  ce 4.735  agree 0.26  tail 0.501       162 tok/s  (run 156)  1164.8s
  step    119  loss   1.7479  kd 1.748  ce 4.926  agree 0.31  tail 0.695       162 tok/s  (run 156)  1174.2s
  step    120  loss   1.6105  kd 1.611  ce 4.711  agree 0.34  tail 0.684       164 tok/s  (run 156)  1183.6s
  step    121  loss   2.9818  kd 2.982  ce 5.228  agree 0.29  tail 0.647       164 tok/s  (run 156)  1193.0s
  step    122  loss   2.4313  kd 2.431  ce 4.634  agree 0.28  tail 0.648       169 tok/s  (run 156)  1202.1s
  step    123  loss   3.1314  kd 3.131  ce 5.059  agree 0.25  tail 0.613       162 tok/s  (run 156)  1211.6s
  step    124  loss   1.3942  kd 1.394  ce 5.049  agree 0.33  tail 0.722       164 tok/s  (run 156)  1220.9s
  step    125  loss   1.5421  kd 1.542  ce 5.297  agree 0.32  tail 0.723       162 tok/s  (run 156)  1230.4s
  step    126  loss   1.6244  kd 1.624  ce 4.933  agree 0.31  tail 0.704       164 tok/s  (run 156)  1239.7s
  step    127  loss   2.4778  kd 2.478  ce 4.780  agree 0.28  tail 0.662       166 tok/s  (run 156)  1249.0s
  step    128  loss   1.4101  kd 1.410  ce 4.879  agree 0.34  tail 0.708       164 tok/s  (run 156)  1258.3s
  step    128  validation   5.0334
  checkpoint: step_000128 (periodic)

  finished step 128 of 128 in 1283.2s (196,608 tokens seen)
  wrote /workspace/runs/run002_logit_kd/checkpoints/step_000128 and summary.json

  exit code 0 in 29.3 min
  record: /workspace/runs/run002_logit_kd
